,location,society,total_sqft,bath,balcony,price,bedrooms
2261,Dasarahalli,Sooneoo,1901.0,3.0,2.0,119.0,3
2262,Sarjapur  Road,Klark L,1819.0,3.0,2.0,100.0,3
2265,Old Madras Road,Brica E,3715.0,6.0,0.0,200.5,4
2266,9th Phase JP Nagar,ImiteEl,5000.0,4.0,3.0,290.0,4
2273,Sarjapur  Road,Ceiti I,1845.0,4.0,1.0,110.0,3
2275,HSR Layout,NRosete,1140.0,2.0,2.0,46.0,2
2277,Talaghattapura,Sodgere,2254.0,3.0,2.0,170.0,3
2278,Frazer Town,Asareur,1750.0,3.0,2.0,150.0,3
2279,other,Caiseha,1020.0,2.0,1.0,37.0,2
2281,Lingadheeranahalli,Soiewre,1893.0,3.0,2.0,140.0,3
2282,other,Pricae ,3025.0,3.0,0.0,500.0,3
2285,Bisuvanahalli,Prityel,1075.0,2.0,1.0,90.0,3
2287,Kasavanhalli,HMonymp,1200.0,2.0,1.0,78.0,2
2288,Sarjapur  Road,Brareio,1233.0,2.0,2.0,77.65,2
2289,Bannerghatta Road,SNity S,1255.0,2.0,2.0,65.26,2
2296,Sarjapur  Road,Shthi S,1525.0,2.0,2.0,60.0,3
2298,Tumkur Road,Sahtsva,1240.0,2.0,1.0,84.0,3
2299,Subramanyapura,Mayne A,1245.0,2.0,1.0,68.0,3
2301,Hosa Road,Akvam P,1104.0,2.0,0.0,36.43,2
2302,Bisuvanahalli,Prityel,1075.0,2.0,1.0,35.99,3
2304,Whitefield,SrireSo,1155.0,2.0,1.0,60.0,2
2305,other,Mavelr ,1520.0,2.0,3.0,62.0,2
2306,Thigalarapalya,Prtanha,3122.0,6.0,2.0,245.0,4
2307,Harlur,Prncyrn,1290.0,2.0,1.0,85.0,2
2313,Malleshwaram,SrntsRV,900.0,2.0,1.0,95.0,2
2315,Hennur Road,Koagati,987.0,2.0,1.0,49.0,2
2316,Old Madras Road,Brglede,1720.0,3.0,2.0,100.0,3
2317,Hebbal,Ratlet ,1040.0,2.0,1.0,50.0,2
2319,Raja Rajeshwari Nagar,Neess P,1030.0,2.0,1.0,50.0,2
2320,Neeladri Nagar,GeereEc,2556.0,3.0,2.0,133.0,3
2321,other,KuisePa,1850.0,3.0,1.0,168.0,3
2324,7th Phase JP Nagar,BriumMi,1270.0,2.0,1.0,83.0,2
2327,Domlur,IBictnd,1050.0,2.0,2.0,85.0,2
2329,other,Aaniaa ,946.0,2.0,1.0,38.0,2
2330,CV Raman Nagar,VeSkyva,1726.0,3.0,3.0,145.0,3
2331,other,Sowerew,2121.0,4.0,3.0,253.0,3
2332,Vittasandra,Prlla C,1404.0,2.0,1.0,75.0,2
2334,Kengeri,Vaens G,1025.0,2.0,2.0,57.0,2
2341,other,Diaste ,4800.0,5.0,3.0,629.0,4
2342,other,Dhows M,1040.0,2.0,2.0,46.0,2
2343,Banashankari,Bregae ,1310.0,2.0,2.0,80.0,2
2344,Uttarahalli,Baveles,1788.0,3.0,2.0,98.34,3
2345,Raja Rajeshwari Nagar,GrrvaGr,1144.0,2.0,2.0,38.55,2
2351,Kasavanhalli,Oca 2 V,1646.0,3.0,2.0,79.5,3
2352,Sarjapur  Road,Klark L,4395.0,4.0,2.0,242.0,4
2354,Iblur Village,DNionfl,1995.0,3.0,2.0,135.0,3
2356,Hosakerehalli,Maunt M,1085.0,2.0,1.0,47.74,2
2357,Budigere,PrityTr,1139.0,2.0,2.0,56.8,2
2359,Pattandur Agrahara,MaidoPl,1767.0,3.0,2.0,98.0,3
2361,Bellandur,Maonsrn,1692.0,3.0,2.0,88.0,3
2363,Uttarahalli,Aklia R,1345.0,2.0,1.0,57.0,3
2364,other,Krtiqa ,1100.0,2.0,1.0,60.0,2
2365,Gollarapalya Hosahalli,Mauner ,1408.0,3.0,3.0,62.0,3
2369,Thigalarapalya,Prtanha,2072.0,4.0,2.0,150.0,3
2370,Malleshwaram,Maens G,1420.0,2.0,1.0,158.0,2
2377,Hosa Road,SStusan,1063.0,2.0,1.0,31.9,2
2383,Thanisandra,MenueNo,1430.0,2.0,2.0,56.0,3
2386,other,Saitya ,1760.0,3.0,2.0,145.0,3
2387,Whitefield,Suent V,2010.0,3.0,3.0,92.0,3
2388,Kanakpura Road,Wiowsri,1480.0,2.0,2.0,64.23,3
2392,Frazer Town,Meentan,4850.0,6.0,2.0,385.0,4
2393,other,GRe 2iv,1100.0,2.0,1.0,52.0,2
2394,Harlur,SosicCl,1752.12,3.0,2.0,116.0,3
2396,Balagere,Soresea,790.5,1.0,0.0,41.9,1
2397,other,PlhtsHe,1942.0,3.0,2.0,102.0,3
2398,other,Swhtsna,1000.0,2.0,2.0,53.0,2
2399,Yeshwanthpur,IBityin,668.0,1.0,1.0,36.85,1
2403,Thanisandra,R ra  R,1800.0,3.0,3.0,90.0,3
2405,Yelahanka,Pyikad ,1036.0,2.0,3.0,39.35,2
2406,Marathahalli,PueraRi,1583.0,3.0,3.0,105.0,3
2408,Padmanabhanagar,Bhise P,1100.0,2.0,2.0,65.0,2
2410,Vittasandra,Prlla C,1246.0,2.0,1.0,65.0,2
2411,Dodda Nekkundi,SaisePa,850.0,2.0,3.0,28.0,2
2412,Raja Rajeshwari Nagar,GrrvaGr,1196.0,2.0,2.0,51.51,2
2413,Thanisandra,Soitya ,1697.0,3.0,2.0,114.0,3
2417,Sarjapur  Road,Co IIla,3750.0,6.0,3.0,290.0,4
2419,other,Vidil D,1022.0,2.0,2.0,52.0,2
2420,Kammasandra,PaigeMa,1018.0,2.0,0.0,23.45,2
2422,Bharathi Nagar,FoapeWa,1322.0,2.0,2.0,68.0,2
2423,Marsur,AreraRe,1800.0,4.0,2.0,145.0,4
2426,other,Sancybr,2400.0,3.0,1.0,260.0,3
2427,Whitefield,Lallere,1635.0,2.0,2.0,85.0,3
2428,Rajaji Nagar,PhestOn,3526.0,4.0,1.0,558.0,4
2430,other,PeBayle,2770.0,3.0,1.0,460.0,3
2431,EPIP Zone,BrontLa,3035.0,5.0,0.0,200.0,4
2432,other,ArnzaFi,1533.0,3.0,2.0,85.0,3
2433,Akshaya Nagar,Hiows C,1720.0,3.0,1.0,134.0,3
2435,Yeshwanthpur,Aroomba,1185.0,2.0,2.0,75.84,2
2437,Attibele,Jae 1hu,395.0,1.0,1.0,10.25,1
2438,Electronic City Phase II,Brods W,1031.0,2.0,1.0,56.35,2
2440,Thanisandra,G conTh,2650.0,4.0,2.0,240.0,4
2442,Uttarahalli,SLnssPr,1330.0,2.0,2.0,46.55,3
2443,Hennur,Exitym ,1259.0,2.0,2.0,57.0,2
2444,Raja Rajeshwari Nagar,GRvanun,1570.0,3.0,2.0,88.0,3
2445,Bisuvanahalli,Prityel,1075.0,2.0,1.0,36.0,3
2446,Whitefield,Prtates,1216.0,2.0,1.0,79.0,2
2447,Sarjapur  Road,Srisei ,1428.0,2.0,2.0,66.0,3
2450,other,SastyDy,1475.0,3.0,2.0,70.0,3
2453,Hennur Road,Puachal,1804.0,3.0,2.0,102.0,3
2456,Begur Road,Dhalsh ,1260.0,2.0,2.0,46.62,2
2458,Hennur Road,Asadacy,2160.0,3.0,2.0,160.0,3
2462,Yelahanka,Chara N,1300.0,2.0,3.0,65.0,2
2463,other,EGdiaAr,605.0,1.0,1.0,29.0,1
2465,Bhoganhalli,Rosha I,1444.0,2.0,1.0,75.97,2
2470,Bisuvanahalli,Prityel,845.0,2.0,1.0,29.0,2
2471,Kanakpura Road,PrarePa,700.0,2.0,1.0,35.0,2
2473,Kaggadasapura,Saconp ,1625.0,3.0,2.0,55.0,3
2475,other,ElaleSp,1452.55,2.0,3.0,110.0,2
2478,Budigere,PrityTr,1139.0,2.0,2.0,56.85,2
2480,Kanakpura Road,PuandHi,1660.0,3.0,3.0,75.0,3
2481,other,Rakulai,1170.0,2.0,3.0,105.0,2
2482,Somasundara Palya,Srhts P,1448.0,2.0,2.0,68.0,2
2483,Kadugodi,Alestrb,1762.0,3.0,3.0,110.0,3
2484,Kaggadasapura,SLireap,1105.0,2.0,1.0,38.65,2
2485,Yelahanka,Miitat ,1825.0,3.0,1.0,105.0,3
2488,Thanisandra,MenueNo,1185.0,2.0,2.0,43.0,2
2489,Electronic City Phase II,Sryalan,1320.0,2.0,1.0,38.12,3
2490,Hulimavu,Suelsa ,1058.0,2.0,1.0,48.0,2
2493,Old Madras Road,Brglede,1200.0,2.0,1.0,72.0,2
2497,Bannerghatta Road,SNity S,1550.0,3.0,2.0,78.0,3
2501,7th Phase JP Nagar,Puarero,2503.0,4.0,0.0,188.0,4
2502,Marathahalli,Prionad,2524.0,5.0,2.0,190.0,4
2507,Jalahalli,Vaniai ,1045.0,2.0,2.0,76.77,2
2508,Kanakapura,SPavenc,1290.0,2.0,3.0,45.15,3
2509,Hoodi,SMaxyay,1400.0,2.0,1.0,78.0,2
2513,Sarjapur  Road,Mades G,1680.0,3.0,1.0,112.0,3
2522,Begur Road,Pruthg ,1634.0,3.0,1.0,83.33,3
2523,other,Prlmsge,1352.0,2.0,2.0,85.0,2
2524,Balagere,HiqueMa,1145.0,2.0,2.0,65.0,2
2526,7th Phase JP Nagar,BriumMi,2200.0,3.0,2.0,190.0,3
2529,Raja Rajeshwari Nagar,Prllsan,1168.0,2.0,1.0,61.0,2
2530,Electronic City Phase II,SNbay G,1205.0,2.0,1.0,75.0,2
2531,Yeshwanthpur,Vatra N,1195.0,2.0,2.0,100.0,2
2534,other,Saent A,1550.0,2.0,2.0,90.0,3
2537,Yelahanka,Niareum,1603.0,3.0,2.0,96.0,3
2541,other,MancyRe,1405.0,2.0,2.0,77.0,3
2542,KR Puram,MCvarar,1142.0,2.0,1.0,51.0,2
2544,Whitefield,Brony H,1870.0,3.0,2.0,90.0,3
2545,Subramanyapura,Chllsev,1313.0,2.0,2.0,73.0,2
2546,other,PlhtsHe,1945.0,3.0,3.0,120.0,3
2547,Thanisandra,Bhmesy ,1573.0,3.0,2.0,95.0,3
2548,Sarjapur  Road,Mades G,1255.0,2.0,1.0,92.0,2
2551,Sarjapur  Road,Shthi S,1380.0,2.0,1.0,52.0,3
2558,Uttarahalli,Sagnage,1279.0,2.0,2.0,48.0,2
2561,Hebbal,SNontle,2526.0,2.0,2.0,250.0,3
2564,Uttarahalli,DSera S,1845.0,2.0,1.0,68.27,3
2565,other,Puodse ,1360.0,2.0,1.0,59.27,3
2567,Whitefield,Sancya ,1260.0,2.0,2.0,49.5,2
2569,Dasanapura,Tavenew,965.0,2.0,1.0,42.5,2
2570,Hoodi,Adion M,1350.0,2.0,3.0,48.0,3
2571,Bhoganhalli,Rosha I,1447.0,2.0,1.0,75.97,2
2574,Gottigere,M denGa,1153.0,2.0,1.0,48.5,2
2575,Whitefield,Prtates,2856.0,5.0,0.0,145.5,4
2576,other,A idse ,1065.0,2.0,2.0,50.0,2
2577,other,Skarkev,1030.0,2.0,3.0,61.0,2
2581,Begur Road,Dhalsh ,1410.0,2.0,3.0,44.42,3
2582,Varthur,Myple M,1055.0,2.0,2.0,45.35,2
2583,Yelahanka,Prensya,1304.0,2.0,1.0,79.0,2
2585,Kammasandra,Puitea ,990.0,2.0,1.0,31.5,2
2587,Tumkur Road,Coowsri,700.0,1.0,0.0,30.09,1
2589,Haralur Road,NDionas,1300.0,2.0,2.0,73.0,2
2590,Tumkur Road,Sapus S,1239.0,2.0,1.0,82.0,2
2591,Sarjapur  Road,Daivon ,1403.0,3.0,3.0,51.63,3
2592,Hosa Road,Sosisic,1365.0,2.0,1.0,92.0,2
2593,other,Sid 2ss,1165.0,2.0,1.0,135.0,2
2595,Green Glen Layout,Solia D,1776.42,3.0,2.0,105.0,3
2598,other,Etuney ,1107.0,2.0,2.0,33.0,2
2600,other,DNtonri,1520.0,3.0,3.0,80.0,3
2601,Kannamangala,Sonue A,1536.0,3.0,1.0,89.0,3
2603,other,Viiniai,1050.0,2.0,1.0,38.0,2
2604,Hoodi,GoAirej,1850.0,3.0,2.0,146.0,3
2605,Billekahalli,Diisein,1112.0,2.0,2.0,62.0,2
2609,7th Phase JP Nagar,JDensar,1250.0,3.0,2.0,65.0,3
2610,Kalena Agrahara,CSvelMa,1187.0,2.0,3.0,52.0,2
2612,Electronic City Phase II,SNbay G,1395.0,2.0,1.0,62.78,3
2613,other,RRnumn ,2072.0,3.0,2.0,108.0,3
2614,Kanakpura Road,JRrnauv,1450.0,3.0,3.0,60.91,3
2615,Bannerghatta Road,SNity S,1550.0,3.0,2.0,82.0,3
2617,Hebbal,SNontle,3067.0,4.0,3.0,230.0,4
2618,other,Saeur G,1210.0,2.0,2.0,72.0,2
2619,Bisuvanahalli,Prityel,1075.0,2.0,1.0,47.0,3
2620,other,Prowshi,11338.0,9.0,1.0,1000.0,6
2622,Kaggadasapura,Prmesad,1470.0,2.0,2.0,75.0,3
2624,Hosur Road,Saageat,1590.0,2.0,2.0,125.0,3
2625,Kanakpura Road,Shdhia ,1050.0,2.0,1.0,36.75,2
2626,Raja Rajeshwari Nagar,GrrvaGr,1306.0,2.0,1.0,55.91,2
2627,Malleshwaram,Maens G,2000.0,3.0,2.0,250.0,3
2630,Sarjapur,Puodsm ,3190.0,3.0,1.0,160.0,4
2631,Ramagondanahalli,ViistLa,1215.0,2.0,1.0,51.26,2
2632,Budigere,PrityTr,1920.0,2.0,1.0,88.0,3
2636,Hoodi,GoAirej,1196.0,2.0,0.0,71.74,2
2637,Bannerghatta Road,Siaraa ,1550.0,2.0,2.0,75.0,3
2638,Thigalarapalya,Prtanha,1418.0,2.0,2.0,101.0,2
2640,KR Puram,SancyRe,1115.0,2.0,2.0,33.45,2
2641,other,NCiteEl,1170.0,2.0,2.0,68.0,2
2642,other,Sraveks,1035.0,2.0,2.0,38.3,2
2644,Kengeri,VBn 2lm,750.0,2.0,2.0,22.0,2
2645,Thanisandra,Bhmesy ,1917.0,3.0,3.0,122.0,3
2646,Kaggadasapura,Frowsru,1615.0,3.0,3.0,58.0,3
2648,Koramangala,Suryais,1325.0,2.0,2.0,119.0,2
2651,Tumkur Road,Sapus S,1246.0,2.0,1.0,82.0,2
2652,Sarjapur,Coa It ,1215.0,2.0,0.0,40.0,2
2653,Munnekollal,Akave E,1200.0,2.0,2.0,49.5,2
2655,other,Shyas S,1200.0,2.0,2.0,60.0,2
2658,Hormavu,Nadhian,1175.0,2.0,1.0,52.0,2
2659,Whitefield,SrireSo,920.0,2.0,1.0,63.0,2
2660,Hosakerehalli,Taonte ,3024.0,5.0,1.0,350.0,4
2664,other,Prineth,955.0,1.0,2.0,34.01,2
2665,Ardendale,SoystAm,1750.0,3.0,3.0,100.0,3
2666,Uttarahalli,Suitea ,1425.0,2.0,2.0,64.0,3
2667,other,Brsic C,2150.0,3.0,2.0,265.0,3
2669,Kaggadasapura,Maidei ,1050.0,2.0,2.0,48.0,2
2670,other,ShourSp,1370.0,2.0,2.0,75.0,3
2671,Electronic City,Prarkun,1374.0,2.0,1.0,72.0,3
2672,Harlur,SosicCl,1754.0,3.0,2.0,124.0,3
2673,Kothanur,Somumys,1847.0,3.0,2.0,110.0,3
2674,Ambedkar Nagar,SoechHa,1850.0,4.0,3.0,139.0,3
2675,Chikka Tirupathi,Theanmp,3297.0,3.0,1.0,135.0,3
2676,other,BMtusLo,1187.0,2.0,2.0,45.0,2
2680,other,Raourpl,3000.0,2.0,2.0,120.0,3
2681,Thanisandra,Bhe 2ko,693.0,1.0,1.0,34.3,1
2682,other,Soeurri,1980.0,3.0,2.0,224.0,3
2683,KR Puram,Saavem ,1021.0,2.0,1.0,48.0,2
2684,Thigalarapalya,Prtanha,1165.0,2.0,2.0,95.0,2
2685,Horamavu Agara,Prhar G,1756.0,3.0,2.0,92.0,3
2686,Bharathi Nagar,FoapeWa,1739.0,3.0,1.0,105.0,3
2689,Munnekollal,Sadhii ,950.0,2.0,1.0,46.5,2
2692,Devanahalli,Cerdsga,1080.0,2.0,0.0,53.35,2
2693,other,Maierr ,1100.0,2.0,2.0,55.0,2
2694,Ardendale,Aling10,3200.0,4.0,1.0,205.0,4
2695,Sarjapur  Road,PraleSi,1311.0,2.0,1.0,78.0,2
2696,Raja Rajeshwari Nagar,GrrvaGr,1608.0,3.0,1.0,67.98,3
2698,Whitefield,Veitaus,1170.0,2.0,1.0,71.0,2
2700,Hebbal,Magiaya,1255.0,2.0,1.0,77.68,3
2702,Neeladri Nagar,Guenoa ,674.0,1.0,1.0,21.0,1
2706,Ramagondanahalli,DNeremo,2257.0,4.0,2.0,157.0,3
2708,Raja Rajeshwari Nagar,GrrvaGr,1530.0,3.0,3.0,51.87,3
2710,Raja Rajeshwari Nagar,Tentsw ,1575.0,2.0,2.0,78.0,3
2711,Frazer Town,Nanorkr,3500.0,4.0,2.0,330.0,3
2712,Rajiv Nagar,Ahntyve,1263.0,2.0,1.0,93.32,2
2713,KR Puram,MCvarar,1559.0,3.0,0.0,69.315,3
2714,Kengeri Satellite Town,MB-laan,1043.0,2.0,2.0,65.0,2
2715,Hennur,Shateor,1255.0,2.0,2.0,53.5,2
2716,JP Nagar,Shestut,1352.5,2.0,0.0,93.865,2
2717,Chandapura,Siageal,590.0,1.0,0.0,13.57,1
2718,Yelahanka,Edreelm,1550.0,3.0,1.0,120.0,3
2720,other,Jants V,1900.0,3.0,3.0,160.0,3
2723,8th Phase JP Nagar,Vaarech,1455.0,3.0,2.0,73.31,3
2724,KR Puram,Hivesdr,1035.0,2.0,1.0,40.5,2
2726,Bellandur,OriewLa,1299.0,2.0,2.0,82.0,2
2727,Sarjapur  Road,AsastDe,1157.0,2.0,1.0,75.0,3
2728,Rachenahalli,Sovar S,1050.0,2.0,2.0,52.5,2
2736,other,Suiseit,1025.0,2.0,0.0,37.0,3
2737,Malleshwaram,SaeneSe,1124.0,3.0,2.0,80.0,2
2738,Balagere,Soresea,1012.0,2.0,1.0,54.59,2
2739,other,Bancyri,4500.0,5.0,3.0,250.0,7
2740,8th Phase JP Nagar,i1rtsCo,871.0,2.0,2.0,55.0,2
2741,other,Mae 2ow,1020.0,2.0,2.0,40.0,2
2742,Rachenahalli,Sovar S,1550.0,3.0,3.0,73.5,3
2744,Akshaya Nagar,DLhtsnd,1410.0,2.0,2.0,80.0,3
2745,Chikka Tirupathi,Theanmp,3500.0,5.0,3.0,150.0,4
2746,Whitefield,Prtates,1118.0,2.0,1.0,75.0,2
2747,Thanisandra,Bhmesy ,1098.0,2.0,1.0,68.0,2
2749,Sarjapur  Road,Trurea ,1145.0,2.0,2.0,75.0,2
2751,other,GSnts A,1051.0,2.0,1.0,33.0,2
2754,Jalahalli,Tahtsla,1478.0,2.0,2.0,125.0,2
2755,Chandapura,SunceEs,645.0,1.0,1.0,16.45,1
2756,Hebbal,Arcia S,823.0,2.0,1.0,50.63,2
2759,Budigere,PrityTr,1991.0,4.0,2.0,100.0,3
2761,Gubbalala,MauilTr,1745.0,3.0,2.0,115.0,3
2766,5th Phase JP Nagar,Sorta S,1450.0,2.0,1.0,58.0,2
2769,Kanakpura Road,Puestol,1843.0,3.0,2.0,95.84,3
2772,Kaggadasapura,Binorn ,1132.0,2.0,2.0,42.0,2
2773,Hulimavu,RatosAr,1375.0,2.0,2.0,80.0,2
2775,Thanisandra,Bhmesy ,760.0,1.0,2.0,50.3,1
2777,Jigani,DLhtsan,918.0,2.0,2.0,45.0,2
2780,HSR Layout,SrisePo,1372.0,2.0,1.0,61.0,2
2782,Ardendale,SoystAm,1728.0,3.0,2.0,95.0,3
2783,Malleshwaram,Sariaat,2215.0,3.0,1.0,275.0,3
2784,BTM 2nd Stage,Crentt ,1200.0,2.0,2.0,80.0,2
2787,other,ViisePa,1455.0,2.0,2.0,56.0,3
2788,other,AsNowre,440.0,1.0,0.0,28.0,1
2789,Kanakpura Road,Nathira,1500.0,3.0,2.0,97.0,3
2793,Old Madras Road,SheldGr,1225.0,2.0,1.0,53.55,2
2800,9th Phase JP Nagar,NaensGa,1005.0,2.0,1.0,42.0,2
2801,Whitefield,Oreldhi,1562.0,3.0,2.0,103.0,3
2802,Devanahalli,Soyleif,5000.0,5.0,2.0,395.0,4
2807,Whitefield,BainePr,1190.0,2.0,2.0,67.0,2
2808,other,KsonsCa,1070.0,2.0,2.0,50.0,2
2810,other,ShshaSa,1020.0,2.0,1.0,42.48,2
2813,other,Rainet ,1300.0,2.0,1.0,49.0,3
2814,Hebbal,Mahosya,1420.0,2.0,1.0,123.0,2
2816,Hebbal,Arcia S,1069.0,3.0,2.0,65.4,3
2817,Marathahalli,PueraRi,1900.0,3.0,3.0,123.0,3
2818,Old Airport Road,Jaades ,1655.0,2.0,1.0,97.65,2
2819,Uttarahalli,SLnssPr,1155.0,2.0,2.0,40.42,2
2820,Sarjapur  Road,Esatea ,1300.0,2.0,2.0,70.0,3
2821,Electronic City,Amhidte,1100.0,2.0,2.0,45.0,2
2822,Doddathoguru,Arensh ,1030.0,2.0,2.0,42.0,2
2823,Vittasandra,Prlla C,2105.0,2.0,1.0,70.2,2
2824,Bhoganhalli,Prsun S,1700.0,3.0,2.0,126.0,3
2825,Jakkur,BrdgeNo,1760.0,3.0,2.0,139.0,3
2829,Bannerghatta Road,Haaceal,912.0,2.0,1.0,55.0,2
2831,other,Aconyit,1535.0,3.0,1.0,55.0,3
2832,Haralur Road,RInceeg,1243.0,2.0,2.0,46.0,2
2833,Jigani,DLhtsan,918.0,2.0,2.0,63.2,2
2834,Begur Road,MJilayl,1500.0,2.0,3.0,70.0,3
2836,Kasavanhalli,HMwerCo,1476.0,3.0,0.0,89.0,3
2838,Vijayanagar,Saityat,606.0,1.0,0.0,34.78,1
2841,Neeladri Nagar,AdingSV,527.0,1.0,0.0,26.0,1
2842,other,Drerspe,1300.0,2.0,2.0,80.0,2
2845,Koramangala,Vaanda ,1140.0,2.0,1.0,75.2,2
2847,Whitefield,Prtates,2321.0,4.0,1.0,128.0,3
2849,Sarjapur  Road,Asncywo,1725.0,3.0,3.0,90.0,3
2850,Hebbal,SNontle,3067.0,4.0,1.0,310.0,4
2851,Hennur Road,Koagati,1186.0,2.0,1.0,63.0,3
2852,Kanakpura Road,PrityFa,1230.0,2.0,1.0,85.0,2
2858,Binny Pete,She 2rk,660.0,1.0,1.0,54.0,1
2859,other,Tinori ,1036.0,2.0,2.0,105.0,2
2861,Old Madras Road,Teilsaf,1100.0,2.0,1.0,70.0,2
2865,Electronics City Phase 1,GaicaVe,1015.0,2.0,1.0,56.0,2
2868,other,Ceste C,2167.0,3.0,3.0,170.0,3
2870,other,MJarlPe,1165.0,2.0,2.0,75.0,2
2871,BTM 2nd Stage,NDclenn,1274.0,2.0,2.0,70.0,2
2872,Raja Rajeshwari Nagar,GrrvaGr,1151.0,2.0,2.0,39.02,2
2874,Thubarahalli,ShdhiSa,1626.0,2.0,2.0,120.0,3
2880,Raja Rajeshwari Nagar,Spensas,1570.0,2.0,2.0,65.0,3
2882,other,NianaKe,780.0,2.0,2.0,25.0,2
2888,Kereguddadahalli,DSdorSp,904.0,2.0,1.0,30.0,2
2889,other,ALtonea,1121.0,2.0,1.0,43.72,2
2890,7th Phase JP Nagar,Vasta C,1385.0,2.0,2.0,58.17,3
2891,Sahakara Nagar,Rauil T,1270.0,2.0,1.0,69.85,2
2892,Kanakpura Road,JRrnauv,1450.0,3.0,3.0,56.0,3
2895,Raja Rajeshwari Nagar,GrrvaGr,1580.0,3.0,3.0,53.56,3
2896,Thanisandra,Teire G,1111.0,2.0,1.0,50.0,2
2898,Varthur,Maine J,977.0,2.0,2.0,36.0,2
2901,Sarjapur,Puodsm ,2540.0,4.0,1.0,115.0,4
2902,Jakkur,BrdgeNo,1290.0,2.0,1.0,100.0,2
2904,Abbigere,SLtias ,795.0,2.0,1.0,32.54,2
2905,Kanakpura Road,PrarePa,700.0,1.0,1.0,35.0,2
2906,other,RMcesa ,1463.0,1.0,1.0,142.0,2
2910,Bommenahalli,Prana S,1670.0,3.0,0.0,135.0,4
2911,other,Rathira,1875.0,2.0,3.0,235.0,3
2912,Marsur,AreraRe,1200.0,3.0,1.0,90.0,3
2914,1st Phase JP Nagar,Prhtsok,2065.0,4.0,1.0,210.0,3
2915,Hoskote,Deiveer,1225.0,3.0,1.0,40.0,3
2916,Thanisandra,Bhe 2ko,1185.5,2.0,0.0,58.68,2
2917,Bellandur,Trows M,900.0,2.0,2.0,56.0,2
2918,Binny Pete,She 2rk,1350.0,2.0,1.0,91.0,2
2919,Kaggalipura,Baowsig,700.0,1.0,0.0,36.0,1
2920,Mysore Road,Gopia O,1005.0,2.0,0.0,35.175,2
2923,other,CharkR ,1043.0,2.0,2.0,55.0,2
2925,Hebbal,Diaveic,1040.0,2.0,2.0,46.0,2
2926,other,Shmolti,1357.0,2.0,2.0,65.0,3
2933,Doddathoguru,SKterAs,1549.0,3.0,2.0,65.0,3
2934,Yeshwanthpur,Goandn ,1400.0,2.0,2.0,100.0,2
2935,Dodda Nekkundi,MavarSa,1080.0,2.0,2.0,50.0,2
2936,other,Rilor C,1180.0,2.0,2.0,100.0,2
2938,Domlur,Saiewas,1800.0,3.0,2.0,150.0,3
2939,Haralur Road,SNnia E,1225.0,2.0,1.0,67.38,2
2941,Abbigere,SLtias ,1005.0,2.0,1.0,39.59,2
2942,Whitefield,BrlisCo,1320.0,2.0,1.0,95.0,2
2945,other,SSoraba,1110.0,2.0,2.0,51.0,2
2948,Electronic City,Prarkun,1128.0,2.0,1.0,65.35,2
2949,Jakkur,SoineC ,1452.19,2.0,1.0,100.0,2
2951,Banashankari,Rallse ,2600.0,4.0,1.0,135.0,3
2952,other,Sowerew,2500.0,4.0,2.0,325.0,3
2955,other,Goe 3la,960.0,2.0,2.0,32.0,2
2957,Whitefield,JahanSa,735.0,2.0,1.0,35.0,2
2959,Rajaji Nagar,Pumesim,2849.0,5.0,0.0,300.0,5
2960,Hebbal,Mahosya,1420.0,2.0,1.0,99.39,2
2962,Bisuvanahalli,Prityel,850.0,1.0,1.0,32.0,2
2963,7th Phase JP Nagar,Eladero,1575.0,2.0,2.0,110.0,3
2964,Thigalarapalya,Prtanha,1418.0,2.0,2.0,104.0,2
2966,Hennur Road,GSideS ,1065.0,2.0,1.0,42.6,2
2969,Electronic City Phase II,Sryalan,1160.0,2.0,1.0,33.5,2
2970,Kudlu,Srrnasa,1092.0,2.0,2.0,44.0,2
2971,Parappana Agrahara,Peide L,1194.0,2.0,2.0,47.0,2
2972,Yelahanka,Apows M,1455.0,3.0,1.0,61.5,3
2973,Abbigere,DSestma,734.0,1.0,0.0,19.82,1
2974,other,SPontna,799.0,2.0,1.0,38.0,2
2976,Ardendale,Miwel M,1100.0,2.0,1.0,48.0,2
2979,Electronic City,Prarkun,1128.0,2.0,1.0,65.0,2
2981,other,Lelia M,3875.0,3.0,2.0,864.0,3
2983,8th Phase JP Nagar,MBodsen,1098.0,2.0,1.0,43.91,2
2985,other,Sancya ,1460.0,3.0,2.0,88.0,3
2988,Varthur,Hirio L,1091.0,2.0,1.0,32.0,2
2989,Yelahanka,Inurave,1180.0,2.0,3.0,42.0,2
2990,Kanakpura Road,PrityFa,1366.0,3.0,1.0,76.85,2
2991,other,DSureSi,1685.0,3.0,2.0,95.0,3
2992,Koramangala,Gencysi,1260.0,2.0,3.0,100.0,2
2993,Whitefield,Chpana ,3010.0,3.0,2.0,200.0,3
2996,Whitefield,Prtates,1346.0,2.0,1.0,96.17,2
2997,Chandapura,Dhowsyo,630.0,1.0,0.0,13.86,1
2999,7th Phase JP Nagar,Brngsal,1850.0,3.0,2.0,140.0,3
3001,Electronic City,GMown E,755.0,1.0,1.0,34.0,2
3003,Parappana Agrahara,Peide L,1194.0,2.0,2.0,46.0,2
3005,Hebbal,Cehosy ,4235.0,4.0,2.0,365.0,4
3007,Rachenahalli,Leino C,2250.0,3.0,1.0,195.0,3
